name,type,start,end,year,suppressed,ord
datayear,n,1,2,1979,FALSE,1
reparea,n,3,3,1979,FALSE,2
shipno,c,10,11,1979,FALSE,3
rectype,n,19,19,1979,FALSE,4
restatus,n,20,20,1979,FALSE,5
countyoc,c,21,25,1979,FALSE,6
stateoc,c,21,22,1979,FALSE,7
region,n,26,26,1979,FALSE,8
divstoc,c,27,28,1979,FALSE,9
exstatoc,c,29,30,1979,FALSE,10
countyrs,c,31,35,1979,FALSE,11
staters,c,31,32,1979,FALSE,12
cityrs,c,36,38,1979,FALSE,13
popsize,c,39,39,1979,FALSE,14
metro,c,40,40,1979,FALSE,15
regnres,n,41,41,1979,FALSE,16
divstres,n,42,43,1979,FALSE,17
exstares,c,44,45,1979,FALSE,18
smsares,c,46,48,1979,FALSE,19
monthdth,n,55,56,1979,FALSE,20
daydth,n,57,58,1979,FALSE,21
sex,n,59,59,1979,FALSE,22
race,n,60,61,1979,FALSE,23
racer3,n,62,62,1979,FALSE,24
racer2,n,63,63,1979,FALSE,25
age,n,64,66,1979,FALSE,26
ager52,n,67,68,1979,FALSE,27
ager27,n,69,70,1979,FALSE,28
ager12,n,71,72,1979,FALSE,29
ager22,n,73,74,1979,FALSE,30
hospstat,n,75,75,1979,FALSE,31
marstat,n,77,77,1979,FALSE,32
statebth,n,78,79,1979,FALSE,33
autopsy,n,84,84,1979,FALSE,34
accident,n,141,141,1979,FALSE,35
ucod,c,142,145,1979,FALSE,36
ucr282,n,146,150,1979,FALSE,37
ucr72,n,151,153,1979,FALSE,38
ucr61,n,154,156,1979,FALSE,39
ucr34,n,157,159,1979,FALSE,40
eanum,n,160,161,1979,FALSE,41
entity1,c,162,168,1979,FALSE,42
econdp_1,n,162,162,1979,FALSE,43
econds_1,c,163,163,1979,FALSE,44
enicon_1,c,164,167,1979,FALSE,45
eniflag1,n,168,168,1979,FALSE,46
entity2,c,169,175,1979,FALSE,47
econdp_2,n,169,169,1979,FALSE,48
econds_2,c,170,170,1979,FALSE,49
enicon_2,c,171,174,1979,FALSE,50
eniflag2,n,175,175,1979,FALSE,51
entity3,c,176,182,1979,FALSE,52
econdp_3,n,176,176,1979,FALSE,53
econds_3,c,177,177,1979,FALSE,54
