column,race,hispanic_origin,sex,role
NHWA_MALE,white_only,non_hispanic,male,store
NHWA_FEMALE,white_only,non_hispanic,female,store
NHBA_MALE,black_only,non_hispanic,male,store
NHBA_FEMALE,black_only,non_hispanic,female,store
NHIA_MALE,american_indian_only,non_hispanic,male,store
NHIA_FEMALE,american_indian_only,non_hispanic,female,store
NHAA_MALE,asian_only,non_hispanic,male,store
NHAA_FEMALE,asian_only,non_hispanic,female,store
NHNA_MALE,nhopi_only,non_hispanic,male,store
NHNA_FEMALE,nhopi_only,non_hispanic,female,store
NHTOM_MALE,multiracial,non_hispanic,male,store
NHTOM_FEMALE,multiracial,non_hispanic,female,store
HWA_MALE,white_only,hispanic,male,store
HWA_FEMALE,white_only,hispanic,female,store
HBA_MALE,black_only,hispanic,male,store
HBA_FEMALE,black_only,hispanic,female,store
HIA_MALE,american_indian_only,hispanic,male,store
HIA_FEMALE,american_indian_only,hispanic,female,store
HAA_MALE,asian_only,hispanic,male,store
HAA_FEMALE,asian_only,hispanic,female,store
HNA_MALE,nhopi_only,hispanic,male,store
HNA_FEMALE,nhopi_only,hispanic,female,store
HTOM_MALE,multiracial,hispanic,male,store
HTOM_FEMALE,multiracial,hispanic,female,store
WA_MALE,white_only,all,male,validate
WA_FEMALE,white_only,all,female,validate
BA_MALE,black_only,all,male,validate
BA_FEMALE,black_only,all,female,validate
IA_MALE,american_indian_only,all,male,validate
IA_FEMALE,american_indian_only,all,female,validate
AA_MALE,asian_only,all,male,validate
AA_FEMALE,asian_only,all,female,validate
NA_MALE,nhopi_only,all,male,validate
NA_FEMALE,nhopi_only,all,female,validate
TOM_MALE,multiracial,all,male,validate
TOM_FEMALE,multiracial,all,female,validate
