"state","group","orig_fipschar","collapsed_fipschar","in_2015_shapefile"
"Alaska",1,"02158","02158",1
"Alaska",1,"02270","02158",0
"Alaska",2,"02140","02188",0
"Alaska",2,"02188","02188",1
"Alaska",3,"02010","02013",0
"Alaska",3,"02013","02013",1
"Alaska",3,"02016","02013",1
"Alaska",4,"02070","02070",1
"Alaska",4,"02164","02070",1
"Alaska",5,"02068","02068",1
"Alaska",5,"02290","02068",1
"Alaska",6,"02105","02105",1
"Alaska",6,"02230","02105",1
"Alaska",6,"02231","02105",0
"Alaska",6,"02232","02105",0
"Alaska",6,"02282","02105",1
"Alaska",7,"02130","02130",1
"Alaska",7,"02195","02130",1
"Alaska",7,"02198","02130",1
"Alaska",7,"02201","02130",0
"Alaska",7,"02275","02130",1
"Alaska",7,"02280","02130",0
"Arizona",1,"04012","04012",1
"Arizona",1,"04027","04012",1
"Colorado",1,"08001","08001",1
"Colorado",1,"08005","08001",1
"Colorado",1,"08013","08001",1
"Colorado",1,"08014","08001",1
"Colorado",1,"08031","08001",1
"Colorado",1,"08059","08001",1
"Colorado",1,"08123","08001",1
"Florida",1,"12025","12086",0
"Florida",1,"12086","12086",1
"Hawaii",1,"15005","15005",1
"Hawaii",1,"15009","15005",1
"Maryland",1,"24031","24031",1
"Maryland",1,"24033","24031",1
"Montana",1,"30067","30067",1
"Montana",1,"30113","30067",0
"New Mexico",1,"35006","35006",1
"New Mexico",1,"35061","35006",1
"South Dakota",1,"46102","46102",1
"South Dakota",1,"46113","46102",0
"South Dakota",2,"46071","46071",1
"South Dakota",2,"46131","46071",0
"Virginia",1,"51059","51059",1
"Virginia",1,"51600","51059",1
"Virginia",2,"51165","51165",1
"Virginia",2,"51660","51165",1
"Virginia",3,"51095","51095",1
"Virginia",3,"51830","51095",1
"Virginia",4,"51153","51153",1
"Virginia",4,"51683","51153",1
"Virginia",4,"51685","51153",1
"Virginia",5,"51163","51163",1
"Virginia",5,"51530","51163",1
"Virginia",6,"51177","51177",1
"Virginia",6,"51630","51177",1
"Virginia",7,"51015","51015",1
"Virginia",7,"51790","51015",1
"Virginia",7,"51820","51015",1
"Virginia",8,"51143","51143",1
"Virginia",8,"51590","51143",1
"Virginia",9,"51081","51081",1
"Virginia",9,"51595","51081",1
"Virginia",10,"51003","51003",1
"Virginia",10,"51540","51003",1
"Virginia",11,"51019","51019",1
"Virginia",11,"51515","51019",0
"Virginia",12,"51083","51083",1
"Virginia",12,"51780","51083",0
"Virginia",13,"51175","51175",1
"Virginia",13,"51620","51175",1
"Virginia",14,"51005","51005",1
"Virginia",14,"51560","51005",0
"Virginia",15,"51199","51199",1
"Virginia",15,"51700","51199",1
